Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row1,WeightTransformRowConst_0,496,701.316,193.489,894.805,6.467
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row2,WeightTransformRowConst_1,521,675.99,202.48,878.47,6.349
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,weight_trf_row3,WeightTransformRowConst_2,229,242.928,63.367,306.295,2.214
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv,Conv,7921,9969.372,3748.996,13718.368,100.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,3.39
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.479
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip0,Multip,597,625.716,245.893,871.609,6.354
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip1,Multip_410,597,625.716,245.647,871.363,6.352
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip2,Multip_409,596,625.59,245.518,871.108,6.35
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,multip3,Multip_408,596,625.59,245.518,871.108,6.35
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,trf,Transform,968,1401.876,366.811,1768.687,12.893
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.04
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.035
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,weight_row_next,WeightTransformRow_0,164,102.69,50.437,153.127,1.116
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,weight_trf,WeightTransform,1595,2222.388,678.276,2900.664,21.144
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv,Conv,8473,8467.074,3660.696,12127.77,100.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,inverse_row_acc,InverseRowAccumulate,339,331.128,133.279,464.407,3.829
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,inverse_row_current,InverseRow,97,171.36,33.045,204.405,1.685
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip0,Multip,624,641.214,255.517,896.731,7.394
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip1,Multip_232,630,642.348,256.746,899.094,7.414
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip2,Multip_231,630,642.096,256.746,898.842,7.411
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,multip3,Multip_230,587,629.118,244.024,873.142,7.2
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,trf,Transform,2829,1875.258,934.706,2809.964,23.17
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,matrix_c0,MatrixC0,1470,974.736,393.718,1368.454,11.284
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,matrix_c1,MatrixC1,1359,900.522,365.764,1266.286,10.441
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv,Conv,6515,7875.882,2982.102,10857.984,100.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,inverse_row_acc,InverseRowAccumulate,357,324.828,137.819,462.647,4.261
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.869
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip0,Multip,596,625.59,245.518,871.108,8.023
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip1,Multip_231,596,625.59,245.395,870.985,8.022
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip2,Multip_230,596,625.716,245.518,871.234,8.024
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,multip3,Multip_229,596,625.59,245.518,871.108,8.023
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,trf,Transform,968,1401.876,366.811,1768.687,16.289
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.632
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.625
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv,Conv,6407,7872.858,2950.325,10823.183,100.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,inverse_row_acc,InverseRowAccumulate,361,326.214,138.828,465.042,4.297
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.875
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip0,Multip,597,625.716,245.893,871.609,8.053
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip1,Multip_212,597,625.716,245.77,871.486,8.052
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip2,Multip_211,596,625.716,245.518,871.234,8.05
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,multip3,Multip_210,596,625.716,245.518,871.234,8.05
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,trf,Transform,968,1401.876,366.811,1768.687,16.342
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.656
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.649
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv,Conv,6613,8806.896,3211.029,12017.925,100.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[0].multip,Multip,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[1].multip,Multip_203,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[2].multip,Multip_202,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,MULTIP_BLOCK[3].multip,Multip_201,565,604.422,236.378,840.8,6.996
Conv2x2-conv-i16-h16-t16-o4-m04-std,inv,Inverse,582,1019.34,248.939,1268.279,10.553
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_a0,MatrixA0,194,339.948,65.831,405.779,3.376
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_a1,MatrixA1,388,679.392,132.179,811.571,6.753
Conv2x2-conv-i16-h16-t16-o4-m04-std,trf,Transform,968,1401.876,366.811,1768.687,14.717
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_c0,MatrixC0,484,701.316,127.315,828.631,6.895
Conv2x2-conv-i16-h16-t16-o4-m04-std,matrix_c1,MatrixC1,484,700.56,127.315,827.875,6.889
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv,Conv,6570,8118.936,3012.948,11131.884,100.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,inverse_row_acc,InverseRowAccumulate,357,325.08,137.819,462.899,4.158
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.823
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip0,Multip,597,625.716,245.893,871.609,7.83
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip1,Multip_230,597,625.716,245.77,871.486,7.829
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip2,Multip_229,596,625.716,245.518,871.234,7.826
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,multip3,Multip_228,596,625.716,245.518,871.234,7.826
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,trf,Transform,968,1401.876,366.811,1768.687,15.888
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,matrix_c0,MatrixC0,484,701.316,127.315,828.631,7.444
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,matrix_c1,MatrixC1,484,700.56,127.315,827.875,7.437
Conv3x3-ifn9-06mac,Conv,Conv,11915,16155.846,5738.323,21894.169,100.0
Conv3x3-ifn9-06mac,MULTIP_BLOCK[0].multip,Multip,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,MULTIP_BLOCK[1].multip,Multip_305,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,MULTIP_BLOCK[2].multip,Multip_304,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,MULTIP_BLOCK[3].multip,Multip_303,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,MULTIP_BLOCK[4].multip,Multip_302,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,MULTIP_BLOCK[5].multip,Multip_301,561,603.54,235.369,838.909,3.832
Conv3x3-ifn9-06mac,inv,Inverse,1053,2221.506,494.334,2715.84,12.404
Conv3x3-ifn9-06mac,matrix_a0,MatrixA0,351,740.502,127.134,867.636,3.963
Conv3x3-ifn9-06mac,matrix_a1,MatrixA1,702,1481.004,254.269,1735.273,7.926
Conv3x3-ifn9-06mac,trf,Transform,2291,2950.416,776.104,3726.52,17.021
Conv3x3-ifn9-06mac,matrix_c0,MatrixC0,905,1301.58,321.296,1622.876,7.412
Conv3x3-ifn9-06mac,matrix_c1,MatrixC1,1386,1648.836,424.538,2073.374,9.47
Conv3x3stream-if-ifn9-06mac,Conv,Conv,11222,14612.85,5347.179,19960.029,100.0
Conv3x3stream-if-ifn9-06mac,inverse_row,InverseRow,117,246.834,42.378,289.212,1.449
Conv3x3stream-if-ifn9-06mac,inverse_row_acc,InverseRowAccumulate,556,625.842,204.465,830.307,4.16
Conv3x3stream-if-ifn9-06mac,inverse_row_capture,InverseRowAccumulate_1,120,251.748,28.757,280.505,1.405
Conv3x3stream-if-ifn9-06mac,inverse_row_current,InverseRow_342,117,246.834,42.378,289.212,1.449
Conv3x3stream-if-ifn9-06mac,multip0,Multip,575,600.768,240.492,841.26,4.215
Conv3x3stream-if-ifn9-06mac,multip1,Multip_347,575,600.768,240.492,841.26,4.215
Conv3x3stream-if-ifn9-06mac,multip2,Multip_346,575,600.768,240.492,841.26,4.215
Conv3x3stream-if-ifn9-06mac,multip3,Multip_345,575,600.768,240.246,841.014,4.213
Conv3x3stream-if-ifn9-06mac,multip4,Multip_344,575,600.894,240.123,841.017,4.214
Conv3x3stream-if-ifn9-06mac,multip5,Multip_343,574,600.642,239.871,840.513,4.211
Conv3x3stream-if-ifn9-06mac,trf,Transform,1974,2903.796,680.417,3584.213,17.957
Conv3x3stream-if-ifn9-06mac,matrix_c0,MatrixC0,894,1320.732,293.892,1614.624,8.089
Conv3x3stream-if-ifn9-06mac,csa_n0,CSA_2,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n1,CSA_2_341,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n2,CSA_2_340,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n6,CSA_2_339,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n7,CSA_2_338,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n8,CSA_2_337,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n12,CSA_2_336,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n13,CSA_2_335,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n14,CSA_2_334,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n18,CSA_2_333,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n19,CSA_2_332,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n20,CSA_2_331,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n24,CSA_2_330,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n25,CSA_2_329,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n26,CSA_2_328,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,matrix_c1,MatrixC1,1080,1583.064,356.256,1939.32,9.716
Conv3x3stream-if-ifn9-06mac,csa_n0,CSA_2_327,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n1,CSA_2_326,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n2,CSA_2_325,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n3,CSA_2_324,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n4,CSA_2_323,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n5,CSA_2_322,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n6,CSA_2_321,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n7,CSA_2_320,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n8,CSA_2_319,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n9,CSA_2_318,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n10,CSA_2_317,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n11,CSA_2_316,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n12,CSA_2_315,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n13,CSA_2_314,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n14,CSA_2_313,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n15,CSA_2_312,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n16,CSA_2_311,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-06mac,csa_n17,CSA_2_310,20,41.958,4.793,46.751,0.234
Conv3x3stream-if-ifn9-12mac,Conv,Conv,15062,18616.626,7078.124,25694.75,100.0
Conv3x3stream-if-ifn9-12mac,inverse_row,InverseRow,117,246.834,42.378,289.212,1.126
Conv3x3stream-if-ifn9-12mac,inverse_row_acc,InverseRowAccumulate,365,418.95,127.18,546.13,2.125
Conv3x3stream-if-ifn9-12mac,inverse_row_accumulate_lane1,InverseRowAccumulate_341,428,562.338,142.438,704.776,2.743
Conv3x3stream-if-ifn9-12mac,inverse_row_lane1,InverseRow_340,117,246.834,42.378,289.212,1.126
Conv3x3stream-if-ifn9-12mac,multip0,Multip,598,626.346,246.759,873.105,3.398
Conv3x3stream-if-ifn9-12mac,multip1,Multip_352,598,626.346,246.759,873.105,3.398
Conv3x3stream-if-ifn9-12mac,multip2,Multip_351,598,626.346,246.759,873.105,3.398
Conv3x3stream-if-ifn9-12mac,multip3,Multip_350,597,626.976,246.261,873.237,3.399
Conv3x3stream-if-ifn9-12mac,multip4,Multip_349,599,626.724,247.135,873.859,3.401
Conv3x3stream-if-ifn9-12mac,multip5,Multip_348,599,626.976,247.135,874.111,3.402
Conv3x3stream-if-ifn9-12mac,multip6,Multip_347,597,625.716,245.893,871.609,3.392
Conv3x3stream-if-ifn9-12mac,multip7,Multip_346,597,625.716,245.893,871.609,3.392
Conv3x3stream-if-ifn9-12mac,multip8,Multip_345,597,625.716,245.893,871.609,3.392
Conv3x3stream-if-ifn9-12mac,multip9,Multip_344,596,625.59,245.518,871.108,3.39
Conv3x3stream-if-ifn9-12mac,multip10,Multip_343,597,625.716,245.647,871.363,3.391
Conv3x3stream-if-ifn9-12mac,multip11,Multip_342,597,625.716,245.647,871.363,3.391
Conv3x3stream-if-ifn9-12mac,trf,Transform,1974,2903.796,680.417,3584.213,13.949
Conv3x3stream-if-ifn9-12mac,matrix_c0,MatrixC0,894,1320.732,293.892,1614.624,6.284
Conv3x3stream-if-ifn9-12mac,csa_n0,CSA_2,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n1,CSA_2_339,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n2,CSA_2_338,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n6,CSA_2_337,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n7,CSA_2_336,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n8,CSA_2_335,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n12,CSA_2_334,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n13,CSA_2_333,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n14,CSA_2_332,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n18,CSA_2_331,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n19,CSA_2_330,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n20,CSA_2_329,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n24,CSA_2_328,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n25,CSA_2_327,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n26,CSA_2_326,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,matrix_c1,MatrixC1,1080,1583.064,356.256,1939.32,7.548
Conv3x3stream-if-ifn9-12mac,csa_n0,CSA_2_325,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n1,CSA_2_324,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n2,CSA_2_323,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n3,CSA_2_322,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n4,CSA_2_321,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n5,CSA_2_320,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n6,CSA_2_319,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n7,CSA_2_318,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n8,CSA_2_317,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n9,CSA_2_316,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n10,CSA_2_315,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n11,CSA_2_314,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n12,CSA_2_313,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n13,CSA_2_312,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n14,CSA_2_311,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n15,CSA_2_310,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n16,CSA_2_309,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-12mac,csa_n17,CSA_2_308,20,41.958,4.793,46.751,0.182
Conv3x3stream-if-ifn9-18mac,Conv,Conv,19755,23820.426,9474.131,33294.557,100.0
Conv3x3stream-if-ifn9-18mac,inverse_row,InverseRow,117,246.834,42.378,289.212,0.869
Conv3x3stream-if-ifn9-18mac,inverse_row_acc,InverseRowAccumulate,558,632.016,205.093,837.109,2.514
Conv3x3stream-if-ifn9-18mac,inverse_row_acc_1,InverseRowAccumulate_346,558,633.024,205.461,838.485,2.518
Conv3x3stream-if-ifn9-18mac,inverse_row_acc_2,InverseRowAccumulate_345,558,612.612,204.97,817.582,2.456
Conv3x3stream-if-ifn9-18mac,inverse_row_current,InverseRow_344,117,246.834,42.378,289.212,0.869
Conv3x3stream-if-ifn9-18mac,inverse_row_current_2,InverseRow_343,117,246.834,42.378,289.212,0.869
Conv3x3stream-if-ifn9-18mac,multip0,Multip,616,632.268,253.603,885.871,2.661
Conv3x3stream-if-ifn9-18mac,multip1,Multip_363,616,632.268,253.603,885.871,2.661
Conv3x3stream-if-ifn9-18mac,multip2,Multip_362,616,632.268,253.603,885.871,2.661
Conv3x3stream-if-ifn9-18mac,multip3,Multip_361,605,635.292,264.76,900.052,2.703
Conv3x3stream-if-ifn9-18mac,multip4,Multip_360,616,633.654,251.268,884.922,2.658
Conv3x3stream-if-ifn9-18mac,multip5,Multip_359,616,633.654,251.268,884.922,2.658
Conv3x3stream-if-ifn9-18mac,multip6,Multip_358,599,626.724,247.257,873.981,2.625
Conv3x3stream-if-ifn9-18mac,multip7,Multip_357,599,626.724,247.257,873.981,2.625
Conv3x3stream-if-ifn9-18mac,multip8,Multip_356,599,626.724,247.257,873.981,2.625
Conv3x3stream-if-ifn9-18mac,multip9,Multip_355,598,626.85,246.514,873.364,2.623
Conv3x3stream-if-ifn9-18mac,multip10,Multip_354,600,626.976,246.281,873.257,2.623
Conv3x3stream-if-ifn9-18mac,multip11,Multip_353,600,627.858,246.281,874.139,2.625
Conv3x3stream-if-ifn9-18mac,multip12,Multip_352,597,625.716,245.893,871.609,2.618
Conv3x3stream-if-ifn9-18mac,multip13,Multip_351,597,625.716,245.893,871.609,2.618
Conv3x3stream-if-ifn9-18mac,multip14,Multip_350,597,625.716,245.893,871.609,2.618
Conv3x3stream-if-ifn9-18mac,multip15,Multip_349,596,625.59,245.518,871.108,2.616
Conv3x3stream-if-ifn9-18mac,multip16,Multip_348,597,625.716,245.77,871.486,2.618
Conv3x3stream-if-ifn9-18mac,multip17,Multip_347,597,625.716,245.77,871.486,2.618
Conv3x3stream-if-ifn9-18mac,trf,Transform,1974,2904.552,680.049,3584.601,10.766
Conv3x3stream-if-ifn9-18mac,matrix_c0,MatrixC0,894,1321.488,293.523,1615.011,4.851
Conv3x3stream-if-ifn9-18mac,csa_n0,CSA_2,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n1,CSA_2_342,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n2,CSA_2_341,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n6,CSA_2_340,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n7,CSA_2_339,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n8,CSA_2_338,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n12,CSA_2_337,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n13,CSA_2_336,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n14,CSA_2_335,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n18,CSA_2_334,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n19,CSA_2_333,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n20,CSA_2_332,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n24,CSA_2_331,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n25,CSA_2_330,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n26,CSA_2_329,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,matrix_c1,MatrixC1,1080,1583.064,356.256,1939.32,5.825
Conv3x3stream-if-ifn9-18mac,csa_n0,CSA_2_328,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n1,CSA_2_327,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n2,CSA_2_326,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n3,CSA_2_325,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n4,CSA_2_324,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n5,CSA_2_323,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n6,CSA_2_322,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n7,CSA_2_321,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n8,CSA_2_320,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n9,CSA_2_319,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n10,CSA_2_318,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n11,CSA_2_317,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n12,CSA_2_316,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n13,CSA_2_315,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n14,CSA_2_314,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n15,CSA_2_313,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n16,CSA_2_312,20,41.958,4.793,46.751,0.14
Conv3x3stream-if-ifn9-18mac,csa_n17,CSA_2_311,20,41.958,4.793,46.751,0.14
Conv3x3stream-tc-tcn9-05mac,Conv,Conv,11782,15624.882,5502.475,21127.357,100.0
Conv3x3stream-tc-tcn9-05mac,inverse_row,InverseRow,175,332.892,66.342,399.234,1.89
Conv3x3stream-tc-tcn9-05mac,inverse_row_acc,InverseRowAccumulate,944,807.156,345.965,1153.121,5.458
Conv3x3stream-tc-tcn9-05mac,inverse_row_capture,InverseRowAccumulate_2,60,125.874,14.378,140.252,0.664
Conv3x3stream-tc-tcn9-05mac,inverse_row_current,InverseRow_373,175,332.892,66.342,399.234,1.89
Conv3x3stream-tc-tcn9-05mac,multip0,Multip,597,625.842,245.77,871.612,4.126
Conv3x3stream-tc-tcn9-05mac,multip1,Multip_377,597,625.968,245.77,871.738,4.126
Conv3x3stream-tc-tcn9-05mac,multip2,Multip_376,597,625.968,245.77,871.738,4.126
Conv3x3stream-tc-tcn9-05mac,multip3,Multip_375,598,626.598,246.145,872.743,4.131
Conv3x3stream-tc-tcn9-05mac,multip4,Multip_374,597,625.968,245.893,871.861,4.127
Conv3x3stream-tc-tcn9-05mac,trf,Transform,3249,5038.992,1390.852,6429.844,30.434
Conv3x3stream-tc-tcn9-05mac,matrix_c0,MatrixC0,1614,2507.022,557.358,3064.38,14.504
Conv3x3stream-tc-tcn9-05mac,csa_n0,CSA_2_69_354,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_n1,CSA_2_330,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_n2,CSA_2_64_345,19,37.926,4.411,42.337,0.2
Conv3x3stream-tc-tcn9-05mac,csa_n4,CSA_2_69_355,18,37.674,4.288,41.962,0.199
